,question,relevant_documents_from_dense_retrieval
10,מדוע תחום האנרגיה הוגדר כאתגר ראשון במעלה במאה ה-21?,"[Document(id='a83489a3-0caf-475d-b7d6-eb63af0a1c04', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וע המוטיבציה של הסטודנטים להבין את המושגים התיאורטיים המופשטים\nמתחזקת מאד כאשר הם נחשפים ליישומים בתחום. המגמה נערכה בצורה כזו שתביא לאיזון בין שלושת\nההיבטים הבאים: שיטות חישוביות, טכנולוגיות מידע, והיבטי ניהול .\nבמסגרת פרויקט הגמר, הסטודנטים יתמודדו עם ב')]"
11,כיצד מעריכים את הגידול בצריכת האנרגיה עד שנת 2040?,"[Document(id='4b87b9b4-991f-4956-8077-ddf7bebf8b1a', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�חל בהחלטות תפעוליות וכלה בשיפור התכנון האסטרטגי. מטרת\nמגמה זו היא להכשיר סטודנטים בתחום הנדרש של בינה עסקית ומדעי נתונים. בארגונים מודרניים\nמבינים היום שהנתונים הנאגרים במערכות המידע של הארגון )למשל מידע על לקוחות, על תהליכים\nועל עסקאות( הם כוח שאם'), Document(id='9193996b-b109-44ee-8fd8-2bed91cb392b', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content='� הידע הקיים, העמדת\nהתיאוריות המדעיות במבחן המידע החדש שמצטבר והצעת תיאוריות חדשות. המחקר הוא גולת הכותרת של\nהעיסוק המדעי והוא מגדיר את חזית הידע. ההתנסות במחקר היא בעלת חשיבות עליונה בחינוך לחשיבה עצמאית,\nיצירתית וביקורתית ולהצמחת דור חדש של חוקרים. קיימות ב'), Document(id='a83489a3-0caf-475d-b7d6-eb63af0a1c04', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וע המוטיבציה של הסטודנטים להבין את המושגים התיאורטיים המופשטים\nמתחזקת מאד כאשר הם נחשפים ליישומים בתחום. המגמה נערכה בצורה כזו שתביא לאיזון בין שלושת\nההיבטים הבאים: שיטות חישוביות, טכנולוגיות מידע, והיבטי ניהול .\nבמסגרת פרויקט הגמר, הסטודנטים יתמודדו עם ב')]"
12,אילו מקורות אנרגיה נחשבים למתחדשים על פי התכנית להנדסת אנרגיה?,"[Document(id='302ed6d9-0e3c-486d-80e9-6d01b4f56ae7', metadata={'source': '378-2025.pdf', 'start_index': 704}, page_content='ממות גלובאלית, פליטות פחמן\nדו-חמצני וזיהום האטמוספרה, הערכות סותרות של כמויות דלקים מאובנים )פוסלים(, גורמות לדרישה גוברת לשימוש\nבמקורות אנרגיה אלטרנטיביים. למשל, תוכניות השאפתניות במדינות של איחוד אירופאיה ם שעד שנת 2025\nהתחבורה תעבור לשימושב דלקים שלא מכילים פחמן'), Document(id='7a01e8bf-e2b8-4bac-a354-93926e15fcbc', metadata={'source': '361-2025.pdf', 'start_index': 111833}, page_content='נית הלימודים והמחקר כוללת נושאים בטכנולוגיה מתקדמת ומפורטת בשנתון.\nמעגלים, מערכות וניהול אנרגיה:\nמסלול מעגלים, מערכות וניהול אנרגיה מציע לסטודנטים לתארים מתקדמים להתמחות בכיוונים עיקריים\nהבאים:\n- ייצור, המרה וניהול מערכות אנרגיה מתחדשת ואלטרנטיבית )ט'), Document(id='dc1a17b5-c9f2-4125-b8aa-84f2f1ded55d', metadata={'source': '378-2025.pdf', 'start_index': 1787}, page_content='עוד .לאור דרישה גוברת למהנדסים ומנהלים בתחומי אנרגיה גיאותרמית,\nסולרית ,הידרואלקטרית, ואנרגית רוח, יוכלו בוגרי התוכנית להשתלב בחברות יעוץ ותכנון בתחומים חדשניים אלו.\nתנאי הרשמה\nהלימודים בתוכנית להנדסת אנרגיה פתוחים בפני מסיימי תואר ראשון בהנדסה (B.Sc) ממוסד'), Document(id='8a42a535-7e54-4fa7-b4de-2f02a4f1a32f', metadata={'source': '363-2025.pdf', 'start_index': 1712}, page_content='דסי\nכימיה.\nמסלול לאנרגיה מים וטכנולוגיות מתקדמות\nהמודעות לאספקטים סביבתיים של הנדסה כימית הולכת ועולה וכך גם העניין בטכנולוגיות ירוקות.\nהמסלול יחשוף את הסטודנטים לנעשה בתחום של אנרגיה ומים.\nמסלול לביו-חומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות ה')]"
13,איך התכנית מתייחסת לחסכון והתייעלות אנרגטית בבניה ובתעשייה?,"[Document(id='6d5b8c2e-85ed-4621-9679-939a33f6d4a5', metadata={'source': '374-2025.pdf', 'start_index': 35170}, page_content='יק\nידיעותיהם בתחום הנדסת בנין ותשתיות בסביבה עירונית מקיימת. תחומי המחקר כוללים בניה מכוונת\nאקלים, בניה ירוקה, חומרי בניה מתחדשים ותכנון מכוון אירועי קיצון .\nקריטריוני הקבלה:\n1. המועמדים.ות יהיו בעלי.ות תואר ראשון B.Sc בהנדסה, בעיקר הנדסה אזרחית )כולל מהנד'), Document(id='0459ecdb-cb2d-4971-a5ed-7feaa73fbf9e', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�ם הבנה והעמקה בנושאים של היערכות לאירועי קיצון סביבתיים, הנדסת תשתיות\nמים וניקוז, בנייה ירוקה ומכוונת אקלים, ובקרת זיהום אוויר וגזי חממה בסביבה הבנויה. מסלול זה מהווה\nגם הכנה לפתיחת תואר ראשון בהנדסה סביבתית כפי שמתוכנן במחלקה ובפקולטה.\nבמסגרת מיקוד זה �'), Document(id='8a42a535-7e54-4fa7-b4de-2f02a4f1a32f', metadata={'source': '363-2025.pdf', 'start_index': 1712}, page_content='דסי\nכימיה.\nמסלול לאנרגיה מים וטכנולוגיות מתקדמות\nהמודעות לאספקטים סביבתיים של הנדסה כימית הולכת ועולה וכך גם העניין בטכנולוגיות ירוקות.\nהמסלול יחשוף את הסטודנטים לנעשה בתחום של אנרגיה ומים.\nמסלול לביו-חומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות ה')]"
14,מהן אפשרויות התעסוקה של בוגרי הנדסת אנרגיה בתחום הנדסה גיאותרמית?,"[Document(id='db6f1ba6-58cf-4633-8b5d-ea3c081837ec', metadata={'source': '363-2025.pdf', 'start_index': 1502}, page_content='לקתית.\nמסלולי ההתמחות :\nמסלול לניהול ויזמות\nמהנדסי כימיה צפויים במהלך הקרירה שלהם למלא תפקידי ניהול, הן בתעשיות קלאסיות והן\nבסטארטאפים. המסלול יחשוף את הסטודנט לפן השיווקי, פן היזמות והפן הארגוני הרלוונטים למהנדסי\nכימיה.\nמסלול לאנרגיה מים וטכנולוגיות'), Document(id='70ffd66a-4335-470c-a865-6688bab00938', metadata={'source': '363-2025.pdf', 'start_index': -1}, page_content='�ה לבוגריה הכשרה בסיסית רחבה בתחום הנדסת\nתהליכים, ומאפשרת את השתלבותם בתעשייה הכימית המסורתית, ובתעשיות מודרניות במגוון\nתחומים.\nבעשורים האחרונים גברה המודעות לנושאי איכות סביבה, התפתחו תחומים של אנרגיה חלופית, ביו -\nטכנולוגיה, חומרים מתקדמים והוקמו תעשיות עתירו')]"
15,כיצד מתמודדים עם אתגרי האנרגיה המודרניים לפי תוכנית הלימודים?,[]
16,מדוע גדלה הדרישה למהנדסי אנרגיה בתחום של מקורות מתחדשים?,"[Document(id='8a42a535-7e54-4fa7-b4de-2f02a4f1a32f', metadata={'source': '363-2025.pdf', 'start_index': 1712}, page_content='דסי\nכימיה.\nמסלול לאנרגיה מים וטכנולוגיות מתקדמות\nהמודעות לאספקטים סביבתיים של הנדסה כימית הולכת ועולה וכך גם העניין בטכנולוגיות ירוקות.\nהמסלול יחשוף את הסטודנטים לנעשה בתחום של אנרגיה ומים.\nמסלול לביו-חומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות ה'), Document(id='bb5356e4-d1e6-4b2b-a63c-244aa2dadde0', metadata={'source': '363-2025.pdf', 'start_index': 644}, page_content='יכים ומוצרים\nחדשים, תכנון מפעלים ופיקוח על הקמתם, שינוי ושיפור תהליכים בקנה מידה תעשייתי. המהנדס\nהכימאי מתמודד עם אתגרים כמו חיסכון באנרגיה, שמירה על איכות הסביבה וייצור חומרים מגוונים\nהשימושיים בכל תחומי החיים, הן כמוצרים מוגמרים והן כחומרי בסיס לתעשיות אחרו'), Document(id='2faab980-c23a-4c34-be7d-5d44adaee7e8', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='רחבים. כתוצאה מכך שיתוף הפעולה בין חוקרים משני התחומים הולך וגובר בחקר תופעות כגון חומרים\nמורכבים, תכונות מכאניות וחשמליות של חומרים, תהליכי ייצור ועוד. מטרת התוכנית היא להכשיר מהנדסים\nבשני התחומים ולהעניק להם רקע איתן בהנדסת מכונות וחומרים על מנת שיו�')]"
17,כיצד התכנית בהנדסת אנרגיה משלבת נושאים של חומרים ואנרגיה?,"[Document(id='bc53ed47-1f92-495a-9e82-330bbe4afe41', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='רים קרמיים\n36513491 בחירת חומרים\nמסלול התמחות 9: אנרגיה גרעינית\nמסלול אנרגיה גרעינית הינו מסלול התמחות משותף למחלקה להנדסת מכונות ולמחלקה להנדסה גרעינית.\nהמסלול הוכן על מנת לענות לצורך עדכני בישראל ובעולם להכשרת מהנדסים, מדענים וחוקרים לעיסוק\nבנושאי אנר�')]"
18,מהו הדגש על מערכות בקרה ופקוח בהפקה של אנרגיה בתכנית זו?,"[Document(id='9c2dadd3-6f14-461f-8777-360b194e21e8', metadata={'source': '383-2025.pdf', 'start_index': -1}, page_content='ת מידע ותקשורת ועוד. הצורך לנתח ולתכנן מערכות אלו, לא רק מנקודת מבט של\nתחום מדעי – טכנולוגי ספציפי יחיד, אלא מהיבטים נוספים\nמהנדס המערכת מופקד על הרמה הטכנית / המקצועית של פרויקט מערכתי הנדסי - טכנולוגי וחלק מהנהלת\nהפרויקט. הוא מוביל את הפתרו�')]"
19,באילו מקומות יוכלו בוגרי התכנית לעבוד כממוני אנרגיה?,"[Document(id='1d1e66be-9276-43e7-8616-d8451543f753', metadata={'source': '372-2025.pdf', 'start_index': 12536}, page_content='גרת פרויקט הגמר, הסטודנטים יתמודדו עם בעיות ואתגרים מעשייםו יידרשו להוציא אל הפועל את\nהידע הנרכש באמצעות כלי התוכנה שיעמדו לרשותם. חלק מהפרויקטים יתבצעו בשיתוף הדוק עם\nהתעשייה הרלוונטית.\nיש ללמוד שלושה קורסי בחירה המוכרים במגמה, ניתן ללמוד קורסי בחירה נ'), Document(id='4aeb3065-4f23-44b1-83a7-e6f4be65129b', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�טודנטים שמעורבים בפעילות המחלקה יכולים לקבל מהמחלקה סיוע בשכר לימוד ובמלגות קיום עלפ י\nתנאי המלגות באוניברסיטה. כמו כן, ניתן לקבל מלגות חוקר מתקציבי המחקר של המנחים לתיזה.\nסטודנטים לתואר שני יכולים להשתלב כעוזרי הוראה במחלקה.\n26\n Cyber Space Security - א. מגמה לתואר שני ב'), Document(id='5066d13e-cdb8-4d38-b07d-a19ed25771db', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�ה בתחום התשתיות הלאומיות, לקראת אתגרי העתיד. מטרת התואר הכפול הינה להכשיר מהנדסי.ות\nמבנים בעלי הבנה מעמיקה בגיאולוגיה אשר יתכננו עבודות תשתית מתקדמות בכל עומקי הקרקע והסלע בדגש\nעל תשתיות גדולות ברמה הלאומית. התוכנית מיועדת למועמדים.ות מצטיינים.ות. תוכנית')]"
20,מהם התחומים המרכזיים אותם מכסה המחלקה להנדסה אזרחית וסביבתית?,"[Document(id='7ed6a4de-28d2-467c-9bdb-533818ecd8e9', metadata={'source': '361-2025.pdf', 'start_index': 2542}, page_content=' השונות, את ההבדלים ביניהן, ואת הייחודיות של כל תכנית.\nהחל משנת הלימודים השניה מתחילים הסטודנטים להתמקד בתכנים ספציפיים בהתאם לתכנית הלימודים בה\nהם לומדים; )1( בתכנית להנדסת חשמל ומחשבים הדגשים הם על תחומים כגון הספק ואנרגיה, אלקטרומגנטיות\nומיקרוגלים'), Document(id='18722b0c-3dbc-4e8b-a2a8-59aa6772b2d7', metadata={'source': '372-2025.pdf', 'start_index': 36665}, page_content='תונים, מערכות לומדות וכריית מידע.\nאוניברסיטת בן-גוריון בנגב ידועה כמובילה בתחום מדעי הנתונים בארץ ובעולם, ומציעה לסטודנטים\nבתכנית תחומי מחקר מרתקים, חלקם בשיתוף עם חברות בינלאומיות .\nלמי מיועדת התכנית : סטודנטים בעלי תואר ראשון בהנדסת מערכות מידע')]"
21,מדוע חשוב לשלב בין הנדסה אזרחית והנדסה סביבתית תחת מסגרת אקדמית אחת?,"[Document(id='2faab980-c23a-4c34-be7d-5d44adaee7e8', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='רחבים. כתוצאה מכך שיתוף הפעולה בין חוקרים משני התחומים הולך וגובר בחקר תופעות כגון חומרים\nמורכבים, תכונות מכאניות וחשמליות של חומרים, תהליכי ייצור ועוד. מטרת התוכנית היא להכשיר מהנדסים\nבשני התחומים ולהעניק להם רקע איתן בהנדסת מכונות וחומרים על מנת שיו�'), Document(id='1fa7eb67-209f-438a-a97b-4b277fc832f4', metadata={'source': '363-2025.pdf', 'start_index': 2132}, page_content=' למחקר\nמסלול זה יחשוף את הסטודנטים כבר במהלך התואר הראשון לאספקטים שונים של עבודת מחקר\nאקדמית: מיומנויות, נושאים ואתגרים.\nבנוסף, קיימת תכנית מצוינות לתואר כפול – הנדסה כימית וכימיה: ננוטכנולוגיה. התכנית מעניקה תואר\nבוגר )B.Sc( בכימיה ותואר בוגר )B.Sc( בהנד'), Document(id='1edf2272-0330-4b0b-a051-b6782f85fcf0', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ת זהות\nבית הספר להנדסת חשמל ומחשבים הוא מסגרת ייחודית בנוף ההנדסה במדינת ישראל. בית הספר מאגד\nבמסגרתו מספר תכניות לימודים לתואר ראשון, כמו גם מספר תכניות לימודים לתארים מתקדמים )שני ושלישי(,\nהמספקים לסטודנטים רוחב יריעה, מגוון אפשרויות, והכרות נרחבת �'), Document(id='7a661016-f61a-48ce-b6e8-0b28dbc443a1', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='ע\nאיתן בהנדסת מכונות ובהנדסת חשמל ומחשבים על מנת שיוכלו להתמודד בהצלחה עם אתגרי מחקר\nופיתוח מודרניים ועם הביקוש הגובר בתעשייה.\nהתוכנית משלבת באופן הדוק בין הנדסת חשמל ומחשבים ובין הנדסת מכונות לכל אורך הלימודים. התוכנית\nהיא בת חמש שנים ומציבה אתגר �')]"
22,איזה סוג בעיות מבקשת המחלקה להנדסה אזרחית לפתור?,"[Document(id='82a4e48d-7101-497d-a828-fcffe63a7a04', metadata={'source': '365-2025.pdf', 'start_index': 1279}, page_content=""רוני .\nהמחלקה להנדסת חומרים נוסדה כדי לעמוד באתגר זה של דרישות התעשייה הישראלית בתחומי הנדסת\nהחומרים ולה שתי מגמות:\nמגמת חומרים מבניים\nמגמת חומרים אלקטרוניים.\nבמידה והביקוש יהיה גדול מן ההיצע עבור מסלול מסוים, עדיפות תינתן על פי ממוצע מדרג הציונים של שניםא' ו- ב""), Document(id='0498097d-1f1a-47d2-a7c2-cd7c3289f231', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='יים\nכולל בעיות קריסה. תכן מבנים לרעידות אדמה והגנה על מבנים בפני פיצוצים, דבר הדורש ידע והבנה של\nההתנהגות הדינמית של מבנים. יכולת האנליזה של מהנדס.ת המבנים דורשת נוסף לידע בשיטות אנליזה\nקלאסית ידע בשיטות אנליזה מודרנית תוך שימוש באלמנטים סופיים ובמחשב. ממה�'), Document(id='c446df2e-a6d7-417d-85bc-3aae97d33e64', metadata={'source': '374-2025.pdf', 'start_index': 8026}, page_content='לקה להיות חשופים.ות גם להשפעות אירועים חריגים על תכנון מבנים וניהול הבניה.\nהמחלקה מציעה שתי מגמות לימוד בלימודי התואר הראשון:\n1. הנדסת מבנים: מגמה זו מתאימה לסטודנטים.ות בעלי כושר תכנון ואנליזה, ועניין בתכנון מבנים\nוהרוצים.ות לעסוק בחישוב המבנה וקביעת מ'), Document(id='4325460c-c69f-4641-98b7-ac3bab65a0a8', metadata={'source': '372-2025.pdf', 'start_index': 23012}, page_content='3. הסכמת ראש התוכנית.\nמעבר בין התוכניות עלול לגרור דרישות להשלמה של קורסים מהתוכנית המיועדת.\n21\n 3.4 תכנית מצטיינים - ממד""ע - הנדסת מערכות מידע\nהחל משנת הלימודים תשע""ה המחלקה להנדסת מערכות מידע מפעילה תכנית מצטיינים לפי הפירוט\nהבא:\n1. תכנית מצטייני הנד')]"
