,question,relevant_documents_from_dense_retrieval
72,אילו נושאי מחקר עיקריים נחקרים במסגרת היחידה להנדסה גרעינית?,[]
73,מדוע יש חשיבות לפיתוח שיטות אנליטיות וחישוביות בטרנספורט ניטרונים?,[]
74,כיצד היחידה משלבת מחקר בסיסי עם שיתופי פעולה בינלאומיים?,[]
75,מהן אפשרויות התעסוקה לבוגרי התואר בהנדסה גרעינית?,[]
76,כיצד מטפלת התכנית בהיבטי מיגון קרינה?,[]
77,מהו הדגש על שיטות מונטה קרלו בחישובי קרינה?,[]
78,כיצד מכינים הסטודנטים לעבודת מחקר בתואר השני והשלישי בהנדסה גרעינית?,[]
79,מדוע יש צורך במהנדסים גרעיניים בעלי ידע נרחב בפיזיקת חלקיקים?,[]
80,מהו תפקידו של מהנדס חומרים בתעשייה המודרנית?,"[Document(id='14958da9-74d6-4fa0-a3a9-9465c24f3a4b', metadata={'source': '363-2025.pdf', 'start_index': -1}, page_content='�ומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות הפארמה המזון ובמגוון נוסף של תעשיות, שבהן הם\nממלאים תפקידי פיתוח תהליכים של ביו-חומרים, המצריכים הבנה ביו-פיסיקאלית מעמיקה. המסלול\nיספק את הרקע המתאים לבוגרים אלו.\nמסלול בדגש למחקר\nמסלול זה יחשוף את הסטודנטים כבר ב')]"
81,כיצד משפיעה בחירת חומרים נכונה על שלבי התכנון והייצור?,[]
82,אילו שתי מגמות עיקריות מוצעות במחלקה להנדסת חומרים?,"[Document(id='592fe62a-d513-48f8-914e-c1cc5613f75c', metadata={'source': '362-2025.pdf', 'start_index': 47146}, page_content='ת חומרים וקורסי בחירה בהנדסת מכונות, כאשר חלוקת הנק""ז בין המחלקות\nתהיה קרובה לשוויונית ככל הניתן.\n46\n תכנית לימודים משולבת לתואר כפול הנדסת מכונות –\nהנדסת חשמל\nכללי\nהמחלקה להנדסת מכונות ובית הספר להנדסת חשמל מקיימות תוכנית משולבת לתואר כפול. התוכנית המש')]"
83,מהם עקרונות היסוד הנלמדים בשנים הראשונות ללימודי הנדסת חומרים?,"[Document(id='63e8461b-de23-4caf-8547-1a3f039fe7e0', metadata={'source': '361-2025.pdf', 'start_index': 16355}, page_content=' מדעי המחשב, כגון: מבני נתונים, ומבוא לתכנות מערכות. מקצועות אלה מקנים\nלתלמיד רקע בסיסי במכלול הנושאים המרכיבים את הנדסת מחשבים.\nהחל מהסמסטר החמישי של לימודי ההסמכה לרשות התלמיד עומד מבחר מגוון של קורסי בחירה וליבה. הבחירה\nנעשית בין קורסים מתקדמים באלגו'), Document(id='2146ff26-d12d-4c66-9543-31f77190841b', metadata={'source': '364-2025.pdf', 'start_index': 5772}, page_content=' לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיועדת למועמדים בעלי רקע מתמטי,\nמדעי וטכנולוגי המתאימים ללימודי הנדסה. מבנה התוכנית מושתת על מספר רבדים :\n• קורסי התשתית המדעית מיועדים להקניית הבסיס המדעי הנדרש למהנדסי תעשייה וניהול, בתחומי ידע כגון\nהנדסה,')]"
84,כיצד משלימים הסטודנטים את התמחותם במסלול חומרים אלקטרוניים?,"[Document(id='8f873d5f-f056-48ed-835d-9293ead00576', metadata={'source': '361-2025.pdf', 'start_index': 10621}, page_content='ימודי ההסמכה בוחר התלמיד במסלולי לימוד והתמחות המוצעים בבית הספר.\nבמסגרת לימודי המסלול מקבל התלמיד דגש מקצועי ומעמיק בחלק מהשטחים המקובלים במקצוע הנדסת חשמל\nומחשבים. בנוסף, בסמסטר השביעי והשמיני במקביל ללימודיו בוחר ומבצע התלמיד בפרויקט הנדסי שמטרתו\n')]"
85,מה מהות פרויקט המהנדס הנערך בסוף התואר בהנדסת חומרים?,"[Document(id='8f873d5f-f056-48ed-835d-9293ead00576', metadata={'source': '361-2025.pdf', 'start_index': 10621}, page_content='ימודי ההסמכה בוחר התלמיד במסלולי לימוד והתמחות המוצעים בבית הספר.\nבמסגרת לימודי המסלול מקבל התלמיד דגש מקצועי ומעמיק בחלק מהשטחים המקובלים במקצוע הנדסת חשמל\nומחשבים. בנוסף, בסמסטר השביעי והשמיני במקביל ללימודיו בוחר ומבצע התלמיד בפרויקט הנדסי שמטרתו\n')]"
86,מדוע משולבים לימודי כימיה ופיזיקה בהכשרת מהנדסי חומרים?,"[Document(id='132534c3-c27a-4bb4-8a88-f26ba3fda7d1', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='אר ראשון – הנדסת בניין\nתוכנית הלימודים של לימודי הסמכה של מהנדס.ת הבניין באוניברסיטת בן-גוריון בנגב בנויה ממקצועות מדעיים\nבסיסיים במתמטיקה, פיזיקה, כימיה ומחשוב, הניתנים על ידי הפקולטה למדעי הטבע, ושאחריהם נלמדים\nמקצועות האנליזה והתכן. המקצועות בה�')]"
87,כיצד מתבטאת תכנית המצוינות לתואר כפול בפיסיקה והנדסת חומרים?,"[Document(id='3728237d-ba5f-4a3e-8c8f-f43bc34a9df7', metadata={'source': '374-2025.pdf', 'start_index': 10946}, page_content='ר לתואר שני בהנדסה סביבתית\nתוכנית לימודים לתואר כפול: הנדסת בניין )התמחות במבנים( ומדעי כדור הארץ והסביבה\nתוכנית זו הינה ייחודית הנלמדת באוניברסיטת בן-גוריון בלבד. התוכנית נוסדה לשם מתן מענה אקדמי לצורכי\nהמדינה בתחום התשתיות הלאומיות, לקראת אתגרי העתיד.')]"
88,מה המשמעות של בחירה במסלול הנדסת חומרים מבניים?,"[Document(id='bf36faac-cf9d-4d3a-95a1-9dbc9360ece4', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='כנית לימודים לתואר שני בהנדסה סביבתית\nהמחלקה להנדסה אזרחית וסביבתית מציעה תוכנית לתואר שני בהנדסה סביבתית המיועדת לבוגרי.ות תואר\nראשון בהנדסה במגוון תחומים )כגון הנדסת בניין, הנדסה כימית, הנדסת ביוטכנולוגיה, הנדסת מכונות,\nהנדסת חומרים ועוד(, �')]"
89,כיצד יכול בוגר הנדסת חומרים לתרום לפיתוח תהליכים חדשניים?,"[Document(id='18722b0c-3dbc-4e8b-a2a8-59aa6772b2d7', metadata={'source': '372-2025.pdf', 'start_index': 36665}, page_content='תונים, מערכות לומדות וכריית מידע.\nאוניברסיטת בן-גוריון בנגב ידועה כמובילה בתחום מדעי הנתונים בארץ ובעולם, ומציעה לסטודנטים\nבתכנית תחומי מחקר מרתקים, חלקם בשיתוף עם חברות בינלאומיות .\nלמי מיועדת התכנית : סטודנטים בעלי תואר ראשון בהנדסת מערכות מידע'), Document(id='6f092779-f0da-4cb8-aee9-127b0b650908', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�רנית תוך שימוש באלמנטים סופיים ובמחשב. ממהנדס.ת המבנים נדרשת\nיכולת המאפשרת לו.ה לבצע סינתזה של כל הידע שרכש.ה כדי לתכנן בפועל מבנים שונים .\nתחום ניהול הבנייה מבוסס על אינטראקציה של מערכות שירות שונות, הדורשת ידע בסיסי בהנדסת מבנים\nוידע בניהול הבנייה. ה�')]"
90,מהו אופיו של מהנדס כימי בתעשייה כיום?,[]
91,כיצד משלבים נושאי איכות סביבה ואנרגיה בתכנית להנדסה כימית?,"[Document(id='83fcc181-285c-4b18-93fb-daf4139ebd98', metadata={'source': '362-2025.pdf', 'start_index': 21486}, page_content='דסים, מדענים וחוקרים לעיסוק\nבנושאי אנרגיה גרעינית, תכנות כוח ועוד. ניתן להמשיך בלימודים מתקדמים במסגרת לימודי מוסמכים\nבהנדסת מכונות או במסגרת המחלקה להנדסה גרעינית.\nיש לבחור את הקורסים: פיזיקה של כורים גרעיניים, חומרים גרעיניים ונזקי קרינה, תרמו-הידראו')]"
92,אילו תחומי התמחות מוצעים במסלול לניהול ויזמות בהנדסה כימית?,"[Document(id='db6f1ba6-58cf-4633-8b5d-ea3c081837ec', metadata={'source': '363-2025.pdf', 'start_index': 1502}, page_content='לקתית.\nמסלולי ההתמחות :\nמסלול לניהול ויזמות\nמהנדסי כימיה צפויים במהלך הקרירה שלהם למלא תפקידי ניהול, הן בתעשיות קלאסיות והן\nבסטארטאפים. המסלול יחשוף את הסטודנט לפן השיווקי, פן היזמות והפן הארגוני הרלוונטים למהנדסי\nכימיה.\nמסלול לאנרגיה מים וטכנולוגיות')]"
