,question,relevant_documents_from_dense_retrieval
10,מדוע תחום האנרגיה הוגדר כאתגר ראשון במעלה במאה ה-21?,"[Document(id='70ffd66a-4335-470c-a865-6688bab00938', metadata={'source': '363-2025.pdf', 'start_index': -1}, page_content='�ה לבוגריה הכשרה בסיסית רחבה בתחום הנדסת\nתהליכים, ומאפשרת את השתלבותם בתעשייה הכימית המסורתית, ובתעשיות מודרניות במגוון\nתחומים.\nבעשורים האחרונים גברה המודעות לנושאי איכות סביבה, התפתחו תחומים של אנרגיה חלופית, ביו -\nטכנולוגיה, חומרים מתקדמים והוקמו תעשיות עתירו')]"
11,כיצד מעריכים את הגידול בצריכת האנרגיה עד שנת 2040?,"[Document(id='a83489a3-0caf-475d-b7d6-eb63af0a1c04', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וע המוטיבציה של הסטודנטים להבין את המושגים התיאורטיים המופשטים\nמתחזקת מאד כאשר הם נחשפים ליישומים בתחום. המגמה נערכה בצורה כזו שתביא לאיזון בין שלושת\nההיבטים הבאים: שיטות חישוביות, טכנולוגיות מידע, והיבטי ניהול .\nבמסגרת פרויקט הגמר, הסטודנטים יתמודדו עם ב')]"
12,אילו מקורות אנרגיה נחשבים למתחדשים על פי התכנית להנדסת אנרגיה?,"[Document(id='d4ff793c-ef8f-483c-a394-cf6800426991', metadata={'source': '362-2025.pdf', 'start_index': 17723}, page_content='גון\nשמש, רוח וגלי ים, באמצעות מחזורים תרמודינמיים מתקדמים. כמו כן, המסלול עוסק בתיכון מתקנים מגוונים,\nכולל מחליפי חום, מבחינה תרמית. קורסי בחירה נוספים מתמקדים בנושאים ספציפיים כמו אנרגיה סולרית,\nמנועי שריפה פנימית ומיזוג אוויר.\nהידע שנרכש במסלול מאפשר לב'), Document(id='dc1a17b5-c9f2-4125-b8aa-84f2f1ded55d', metadata={'source': '378-2025.pdf', 'start_index': 1787}, page_content='עוד .לאור דרישה גוברת למהנדסים ומנהלים בתחומי אנרגיה גיאותרמית,\nסולרית ,הידרואלקטרית, ואנרגית רוח, יוכלו בוגרי התוכנית להשתלב בחברות יעוץ ותכנון בתחומים חדשניים אלו.\nתנאי הרשמה\nהלימודים בתוכנית להנדסת אנרגיה פתוחים בפני מסיימי תואר ראשון בהנדסה (B.Sc) ממוסד'), Document(id='8a42a535-7e54-4fa7-b4de-2f02a4f1a32f', metadata={'source': '363-2025.pdf', 'start_index': 1712}, page_content='דסי\nכימיה.\nמסלול לאנרגיה מים וטכנולוגיות מתקדמות\nהמודעות לאספקטים סביבתיים של הנדסה כימית הולכת ועולה וכך גם העניין בטכנולוגיות ירוקות.\nהמסלול יחשוף את הסטודנטים לנעשה בתחום של אנרגיה ומים.\nמסלול לביו-חומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות ה')]"
13,איך התכנית מתייחסת לחסכון והתייעלות אנרגטית בבניה ובתעשייה?,[]
14,מהן אפשרויות התעסוקה של בוגרי הנדסת אנרגיה בתחום הנדסה גיאותרמית?,"[Document(id='216f4264-1c6f-4866-9579-3ba94d67667e', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='� הנדסיים המאפשרים השתלבות בתפקידים בכירים בארגונים\nשונים. בוגרי התוכניות לתואר שני משתלבים במספר רב של תפק ידים בינהם: מדעני נתונים, מנהלי מוצרים טכנולוגיים\nמתקדמים, מנהלי צוותים ומחלקות, ולימודי המשך אקדמיים.\nפרק זה מציג תחילה רקע כללי הנוגע ללימודי �'), Document(id='db6f1ba6-58cf-4633-8b5d-ea3c081837ec', metadata={'source': '363-2025.pdf', 'start_index': 1502}, page_content='לקתית.\nמסלולי ההתמחות :\nמסלול לניהול ויזמות\nמהנדסי כימיה צפויים במהלך הקרירה שלהם למלא תפקידי ניהול, הן בתעשיות קלאסיות והן\nבסטארטאפים. המסלול יחשוף את הסטודנט לפן השיווקי, פן היזמות והפן הארגוני הרלוונטים למהנדסי\nכימיה.\nמסלול לאנרגיה מים וטכנולוגיות')]"
15,כיצד מתמודדים עם אתגרי האנרגיה המודרניים לפי תוכנית הלימודים?,"[Document(id='e7a2e030-78aa-40f1-8e51-30f9161a2fcb', metadata={'source': '362-2025.pdf', 'start_index': 61246}, page_content='שלמות. התוכנית מתבססת על רשימת הקורסים המופיעה מעלה. מטרת תוכנית ההשלמה היא להביא את\nהסטודנטים המגיעים לתוכנית ממסגרות לימודיות שונות לידי מכנה משותף הדרוש כדי להתחיל את הלימודים\nבתוכנית. הרשימה כוללת, בין היתר, את הקורסים המרכיבים את המסלול לבקרה ומכטרוניקה ב')]"
16,מדוע גדלה הדרישה למהנדסי אנרגיה בתחום של מקורות מתחדשים?,[]
17,כיצד התכנית בהנדסת אנרגיה משלבת נושאים של חומרים ואנרגיה?,[]
18,מהו הדגש על מערכות בקרה ופקוח בהפקה של אנרגיה בתכנית זו?,[]
19,באילו מקומות יוכלו בוגרי התכנית לעבוד כממוני אנרגיה?,[]
20,מהם התחומים המרכזיים אותם מכסה המחלקה להנדסה אזרחית וסביבתית?,"[Document(id='7ed6a4de-28d2-467c-9bdb-533818ecd8e9', metadata={'source': '361-2025.pdf', 'start_index': 2542}, page_content=' השונות, את ההבדלים ביניהן, ואת הייחודיות של כל תכנית.\nהחל משנת הלימודים השניה מתחילים הסטודנטים להתמקד בתכנים ספציפיים בהתאם לתכנית הלימודים בה\nהם לומדים; )1( בתכנית להנדסת חשמל ומחשבים הדגשים הם על תחומים כגון הספק ואנרגיה, אלקטרומגנטיות\nומיקרוגלים'), Document(id='eb1abd6d-5630-4c1e-a1c7-f76908c2cd77', metadata={'source': '361-2025.pdf', 'start_index': 11888}, page_content='כנולוגיות, מצריך\nהכרות מעמיקה עם שלל מרכיביו, וידע מעמיק בתחום ידע שהוא בין-תחומי בעיקרו, ומשלב נושאים בהנדסת חשמל,\nהנדסת מחשבים, מדעי המחשב, חקר ביצועים, וטכנולוגיות מידע. היקף הידע והתשתית המחקרית בתחום זה הם\nהעומדים בבסיס תכנית הלימודים לתואר בוגר במ')]"
21,מדוע חשוב לשלב בין הנדסה אזרחית והנדסה סביבתית תחת מסגרת אקדמית אחת?,"[Document(id='3728237d-ba5f-4a3e-8c8f-f43bc34a9df7', metadata={'source': '374-2025.pdf', 'start_index': 10946}, page_content='ר לתואר שני בהנדסה סביבתית\nתוכנית לימודים לתואר כפול: הנדסת בניין )התמחות במבנים( ומדעי כדור הארץ והסביבה\nתוכנית זו הינה ייחודית הנלמדת באוניברסיטת בן-גוריון בלבד. התוכנית נוסדה לשם מתן מענה אקדמי לצורכי\nהמדינה בתחום התשתיות הלאומיות, לקראת אתגרי העתיד.'), Document(id='7dffd9c3-a6f1-4189-b2c5-419c9700d7dd', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='תית\n-ניהול והנדסת בטיחות\n-מסלול מית""ר לתואר שני\n-מסלול קש""ת לתואר שני\n1\n רקע כללי\nהמחלקה להנדסה אזרחית וסביבתית מציעה תוכניות ייחודיות של לימודים ומחקר במטרה לפתח ולקדם\nפתרונות הנדסיים ברי-קיימא המבוססים על מדע וטכנולוגיה בתחומי הבנייה והתשתיות, וזאת �')]"
22,איזה סוג בעיות מבקשת המחלקה להנדסה אזרחית לפתור?,[]
23,כיצד מתבטאת השפעת אירועי טבע חריגים על תכנון מבנים?,"[Document(id='e8180371-8789-4a1d-b40d-b284c6ac83c1', metadata={'source': '374-2025.pdf', 'start_index': 7591}, page_content='אירועים חריגים דוגמת אסונות טבע כרעידות אדמה\nוכנגד פגיעות טרור או מלחמה, המחלקה מציעה ארבעה קורסים: ""אירועים חריגים 1: דינמיקה שימושית ותכן\nסיסמי""; ""אירועים חריגים 2: מבוא למיגון מבנים""; ""אירועים חריגים 3: מבוא לניהול אירועים חריגים"" המתמקד\nבניהול סיכונים במבנים ובניהול אז'), Document(id='2f57bdf5-1dfd-40a6-8c1a-15dd6a2d506e', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='ים"" המתמקד\nבניהול סיכונים במבנים ובניהול אזורי אסון; ו""תכנון וניהול תשתיות למצבי חירום"" העוסק בתכנון המוכנות של\nמערכות הנדסה אזרחית לעמידות במצבי שירות חריגים. מקבץ מקצועות ייחודי זה מאפשר לסטודנטים.ות\nבמחלקה להיות חשופים.ות גם להשפעות אירועים חריגי�'), Document(id='49d9d091-beb9-4bfa-95a4-a8d15a46c305', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content=""�בע )רעידות אדמה, צונמי, וכו'(, ואסונות מעשי יד אדם\n)חבלה ומלחמה( המובילה לגישת תכנון חדשה וכלכלית, המתחשבת באירועים חריגים האלה ) extreme\nevents(. לפי גישה זו התכנון נעשה כדי לצמצם את האבדות בנפש ואת הנזקים הנגרמים באירועים חריגים,\nוכדי להחזיר במהירות את תפעול המבני�""), Document(id='0498097d-1f1a-47d2-a7c2-cd7c3289f231', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='יים\nכולל בעיות קריסה. תכן מבנים לרעידות אדמה והגנה על מבנים בפני פיצוצים, דבר הדורש ידע והבנה של\nההתנהגות הדינמית של מבנים. יכולת האנליזה של מהנדס.ת המבנים דורשת נוסף לידע בשיטות אנליזה\nקלאסית ידע בשיטות אנליזה מודרנית תוך שימוש באלמנטים סופיים ובמחשב. ממה�'), Document(id='f17d5b32-039d-4102-9dcc-a1cff2c5d33a', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�ת מבנים. חיזוי מחזור החיים\nשל רכיבי בניין, שיטות מימוש פרויקטים, ניהול הבנייה, חומרי בנייה מתקדמים ובנייה בת-קיימא.\nבעולם גוברת ההכרה כי לימודי הנדסה אזרחית וסביבתית הם חלקים ממכלול של מקצועות העוסקים בתכן,\nהקמה, הפעלה, בטיחות וקיימות של הסביבה הבנויה וכי ח'), Document(id='c4f49f04-0d37-4043-bbec-769eab127ba5', metadata={'source': '374-2025.pdf', 'start_index': 28529}, page_content='ילי;\nהשפעות דינאמיות על אנשים, ציוד, מבנים ומתקנים; הנדסה גיאו-ביולוגית; שיטות ביולוגיות לשינוי\nתכונות קרקע ועוד .\nניהול הבנייה – מיקוד זה מיועד לסטודנטים.יות בוגרי.ות תואר .B.Sc, המעוניינים.יות יכולות מחקריות\nולהעמיק ידיעותיהם בתחומי ניהול הבנייה ומוכנות לאירוע')]"
24,מהי החשיבות של חישוב עומסים דינמיים ברעידות אדמה?,"[Document(id='330f9056-bb89-479f-9d1c-27ee6eeda34e', metadata={'source': '374-2025.pdf', 'start_index': 2663}, page_content=""כו' .\nתחום הנדסת המבנים עובר לאחרונה שינוי יסודי בגלל שתי סיבות עיקריות. הסיבה הראשונה הינה הפיתוח\nהמואץ של יכולת המחשוב. השיטות המסורתיות של חישוב מבנים לעומסים סטטיים, שבהן עומסים דינמיים\nכעומסי רוח ורעידות אדמה תורגמו לעומסים סטטיים אקוויוולנטיים, מפנות א""), Document(id='0498097d-1f1a-47d2-a7c2-cd7c3289f231', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='יים\nכולל בעיות קריסה. תכן מבנים לרעידות אדמה והגנה על מבנים בפני פיצוצים, דבר הדורש ידע והבנה של\nההתנהגות הדינמית של מבנים. יכולת האנליזה של מהנדס.ת המבנים דורשת נוסף לידע בשיטות אנליזה\nקלאסית ידע בשיטות אנליזה מודרנית תוך שימוש באלמנטים סופיים ובמחשב. ממה�'), Document(id='4ce00922-320f-4337-9568-39a7bae84d79', metadata={'source': '374-2025.pdf', 'start_index': 28104}, page_content='י רשם המהנדסים ובוגרי.ות התוכנית זכאים.יות להירשם במדור קרקע וביסוס. תחומי המחקר\nבהנדסת מבנים כוללים: הנדסת רעידות אדמה; בקרה פאסיבית ואקטיבית של מבנים כנגד רעידות\nאדמה; סייסמולוגיה הנדסית; תגובת אתר; הערכת סיכונים סייסמיים; מכניקה של הקרקע; מולטי -\nפ'), Document(id='9d9f35df-1ff6-40b6-a605-29dded414369', metadata={'source': '374-2025.pdf', 'start_index': 3739}, page_content='נים, התשתיות והקרקע עוסקיםב:תכן מבנים לרעידות אדמה, פגיעות\nומיגון פסיבי ואקטיבי בזמן אמת של מבנים ומתקנים כנגד השפעות ירי ופיצוץ, עמידות מבנים לאחר שריפה,\n2\n דינמיקת מבנים ובקרת מבנים, מכניקת מבנים ומכניקת קרקע חישוביות, פעולת גומלין מבנה-קרקע-נוזל, שיט'), Document(id='49d9d091-beb9-4bfa-95a4-a8d15a46c305', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content=""�בע )רעידות אדמה, צונמי, וכו'(, ואסונות מעשי יד אדם\n)חבלה ומלחמה( המובילה לגישת תכנון חדשה וכלכלית, המתחשבת באירועים חריגים האלה ) extreme\nevents(. לפי גישה זו התכנון נעשה כדי לצמצם את האבדות בנפש ואת הנזקים הנגרמים באירועים חריגים,\nוכדי להחזיר במהירות את תפעול המבני�""), Document(id='e8180371-8789-4a1d-b40d-b284c6ac83c1', metadata={'source': '374-2025.pdf', 'start_index': 7591}, page_content='אירועים חריגים דוגמת אסונות טבע כרעידות אדמה\nוכנגד פגיעות טרור או מלחמה, המחלקה מציעה ארבעה קורסים: ""אירועים חריגים 1: דינמיקה שימושית ותכן\nסיסמי""; ""אירועים חריגים 2: מבוא למיגון מבנים""; ""אירועים חריגים 3: מבוא לניהול אירועים חריגים"" המתמקד\nבניהול סיכונים במבנים ובניהול אז'), Document(id='2f2c98fc-f81b-42af-baf5-ff0d373edb65', metadata={'source': '362-2025.pdf', 'start_index': 16613}, page_content='עוד.\nבשנים האחרונות נושאה סימולציות הנומריות התקדם מאוד בתחום זה בעקבות עלית כוח המחשוב והיום\n12\n חיזוי תופעות הקשורות בזרימה בעזרת כלים אלו מאפשר טיפול באתגרים הנדסיים שהיו בלתי ניתנים לפתרון\nבעבר הלא רחוק. אופי העבודה למהנדס בוגר תחום זה תלוי כמובן במקו'), Document(id='ad7839c4-6cfa-41a5-8fe7-a35d99837688', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='�ל מערכות רובוטיות. במסגרת זו התלמידים לומדים על המאפיינים הקינמטיים\nוהדינאמיים של מערכות רובוטיות והרקע התיאורטי הדרוש לצורך הפעלה ובקרה של מערכות אלה.\nלמהנדסי בקרה בעלי תואר בהנדסת מכונות יש יתרון גדול הקשור ביכולת של מהנדס המכונות להבין תהליכים\nדינאמיים �'), Document(id='d679491c-c1d6-4588-8edf-f6b2a3ab896a', metadata={'source': '374-2025.pdf', 'start_index': 6533}, page_content='מדים\nמקצועות האנליזה והתכן. המקצועות בהנדסת מבנים מאפשרים לבוגר.ת המחלקה לתכנן וללוות את הקמתם\nשל המבנים המורכבים ביותר.\nמתמחה בהנדסת המבנים נדרש.ת לידע המודרני ביותר ולהבנה מעמיקה בהתנהגות מבנים בעומסים סטטיים\nכולל בעיות קריסה. תכן מבנים לרעידות אדמ')]"
25,כיצד המחלקה מתייחסת לחיזוק מבנים כנגד רעידות אדמה?,"[Document(id='9d9f35df-1ff6-40b6-a605-29dded414369', metadata={'source': '374-2025.pdf', 'start_index': 3739}, page_content='נים, התשתיות והקרקע עוסקיםב:תכן מבנים לרעידות אדמה, פגיעות\nומיגון פסיבי ואקטיבי בזמן אמת של מבנים ומתקנים כנגד השפעות ירי ופיצוץ, עמידות מבנים לאחר שריפה,\n2\n דינמיקת מבנים ובקרת מבנים, מכניקת מבנים ומכניקת קרקע חישוביות, פעולת גומלין מבנה-קרקע-נוזל, שיט'), Document(id='5c72f902-8449-49f9-9f91-8df69fae8ec5', metadata={'source': '374-2025.pdf', 'start_index': 7165}, page_content=' בסיסי בהנדסת מבנים\nוידע בניהול הבנייה. הקורסים השונים בתחום הנדסת המבנים יאפשרו ללומד.ת ניהול הבניה הבנה מעמיקה\nשל תוכניות המבנה ומערכותיו, תוך פיתוח יכולת לתת מענה לאילוצים הניצבים בפניו.ה. קורסים שונים במסגרת\nניהול הבנייה מכשירים את בוגרי.ות מסלול זה ל'), Document(id='df9c8b28-8958-457f-95f3-d43b3696d965', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='ת השפעת פעילותם.ן על קידום הציוויליזציה.\nתוכנית הלימודים עוסקת במגוון תחומים הכוללים הנדסת מבנים ותשתיות, גיאומכניקה, חומרי בנייה, ניהול\nהבנייה, היערכות לאירועי קיצון, הנדסת מערכות מים, בנייה מכוונת אקלים, ובקרת זיהום אוויר. בפני בוגרי\nהתואר הראשון יעמדו �')]"
